MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
73282,,"S T Goth Memorial",,,2006,,53.91958,-3.01445,,"Fleetwood",,"Lancashire","England","It is at the intersection of Station Road and Dock Street, on the left when traveling south on Station Road. ",,https://www.hmdb.org/m.asp?m=73282,4/29/2014,1/27/2022
76858,,"Welcome to Stonehenge","Time of Stonehenge",,,,51.17951,-1.82629,,"Amesbury",,"Wiltshire","England","",,https://www.hmdb.org/m.asp?m=76858,9/20/2014,1/27/2022
77892,,"303rd Bombardment Group (H) ""Hells Angels""","Flew from this airfield","Station 107 Molesworth",,,52.37951,-0.40594,,"Molesworth",,"Cambridgeshire","England","It is on Entrance Road, 0.1 kilometers north of Brington Road, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=77892,10/12/2014,1/27/2022
78678,,"Tower Hill Execution Site",,,,,51.50968,-0.07803,,"Tower Hamlets",,"Greater London","England","It can be reached from Trinity Square just north of A100. ",,https://www.hmdb.org/m.asp?m=78678,11/7/2014,1/27/2022
85599,,"King Edward I Statue",,,2007,"The Burgh by Sands Sports and Recreation Association",54.92169,-3.05637,,"Burgh by Sands",,"Cumbria","England","",,https://www.hmdb.org/m.asp?m=85599,7/17/2015,1/27/2022
85736,,"To The Immortal Memory of Sir William Wallace",,,1956,,51.51832,-0.10040,,"City of London",,"Greater London","England","It is on West Smithfield, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=85736,8/14/2015,1/27/2022
85742,,"Trial of William Wallace","Westminster Hall",,,,51.49955,-0.12548,,"City of Westminster",,"Greater London","England","It can be reached from St. Margaret's Street. ",,https://www.hmdb.org/m.asp?m=85742,7/19/2015,1/27/2022
85799,,"Flodden","1513",,1910,"Members of the Berwickshire Naturalists",55.62878,-2.17657,,"Branxton",,"Northumberland","England","",,https://www.hmdb.org/m.asp?m=85799,8/6/2015,1/27/2022
85800,,"After the Battle of Flodden","Branxton Church",,,,55.63092,-2.17295,,"Branxton",,"Northumberland","England","",,https://www.hmdb.org/m.asp?m=85800,8/6/2015,1/27/2022
85843,,"The Battle of Britain Memorial",,,2005,"Battle of Britain Historical Society",51.50301,-0.12347,,"City of Westminster",,"Greater London","England","It is on Victoria Embankment just north of Bridge Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=85843,8/23/2015,1/27/2022
85846,,"London Wall",,,,"English Heritage",51.50988,-0.07615,,"Tower Hamlets",,"Greater London","England","It is on Tower Hill. ",,https://www.hmdb.org/m.asp?m=85846,8/23/2015,1/27/2022
85985,,"Hadrian's Wall","Frontiers of the Roman Empire World Heritage Site",,,"World Heritage Convention",55.01220,-2.33157,,"Bardon Mill",,"Northumberland","England","",,https://www.hmdb.org/m.asp?m=85985,7/23/2015,9/22/2024
86361,,"Steel Rigg","Welcome to Northumberland National Park",,,"Northumberland National Park",55.00294,-2.39057,,"Bardon Mill",,"Northumberland","England","It can be reached from 68. ",,https://www.hmdb.org/m.asp?m=86361,7/28/2015,1/27/2022
104064,,"The Monument",,,,,51.51000,-0.08598,,"City of London",,"Greater London","England","It is at the intersection of Fish St Hill and Monument Street, on the right when traveling north on Fish St Hill. ",,https://www.hmdb.org/m.asp?m=104064,6/21/2017,1/27/2022
109057,,"Wolfgang Amadeus Mozart",,,1991,"Royal Musical Association",51.51354,-0.13140,"21 Frith Street","City of Westminster",,"Greater London","England","It is on Frith Street just south of Bateman Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=109057,10/18/2017,1/27/2022
109059,,"Ziggy Stardust","1972",,2012,,51.51111,-0.13970,"23 Heddon Street","City of Westminster",,"Greater London","England","It is on Heddon Street just west of Regent Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=109059,10/18/2017,10/14/2024
109060,,"Jimi Hendrix","1942-1970",,1997,"English Heritage",51.51311,-0.14583,"23 Brook Street","City of Westminster",,"Greater London","England","It is at the intersection of Brook Street and New Bond Street on Brook Street. ",,https://www.hmdb.org/m.asp?m=109060,10/19/2017,1/27/2022
109064,,"George Frideric Handel","1685-1759",,2001,"English Heritage",51.51309,-0.14599,"25 Brook Street","City of Westminster",,"Greater London","England","It is on Brook Street just west of New Bond Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=109064,10/19/2017,1/27/2022
109067,,"John Lennon","1940-1980",,2010,"English Heritage",51.51868,-0.15994,"34 Montagu Square","City of Westminster",,"Greater London","England","It is at the intersection of Montagu Square and Montagu Place on Montagu Square. ",,https://www.hmdb.org/m.asp?m=109067,10/19/2017,1/27/2022
109068,,"Ho Chi Minh","1890-1969",,,"Britain Vietnam Association",51.50796,-0.13155,"80 Haymarket Street","City of Westminster",,"Greater London","England","It is at the intersection of Haymarket Street and Pall Mail when traveling south on Haymarket Street. ",,https://www.hmdb.org/m.asp?m=109068,10/20/2017,1/27/2022
109080,,"Anthony Trollope","(1815-1882)",,1914,"London County Council",51.51837,-0.15986,"39 Montagu Square","City of Westminster",,"Greater London","England","It is on Montagu Square just south of Montagu Place. ",,https://www.hmdb.org/m.asp?m=109080,10/20/2017,1/27/2022
109081,,"David Bowie","1947 - 2016","BBC Music Day",2017,"British Plaque Trust",51.51433,-0.13422,"17 St. Anne's Court","City of Westminster",,"Greater London","England","It is on St. Anne's Court just east of Wardour Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=109081,10/20/2017,6/27/2024
109084,,"The Buxton Memorial",,,,"The Royal Parks",51.49613,-0.12467,,"City of Westminster",,"Greater London","England","It can be reached from Milbank just east of Dean Stanley Street. ",,https://www.hmdb.org/m.asp?m=109084,10/20/2017,1/27/2022
109088,,"Ivor Novello","1893-1951",,1973,"Greater London Council",51.51234,-0.11902,"11 Aldwych","City of Westminster",,"Greater London","England","It is at the intersection of Aldwych and Catherine Street, on the left when traveling north on Aldwych. ",,https://www.hmdb.org/m.asp?m=109088,10/20/2017,1/27/2022
109093,,"The Audley",,,,,51.50962,-0.15169,"41-43 Mount Street","City of Westminster",,"Greater London","England","It is at the intersection of Mount Street and South Audley Street, on the left when traveling south on Mount Street. ",,https://www.hmdb.org/m.asp?m=109093,10/20/2017,8/10/2023
109097,,"The Bee Gees","City of Westminster",,2008,"The Heritage Foundation",51.51252,-0.14891,"67 Brook Street","City of Westminster",,"Greater London","England","It is on Brook Street just west of Davies Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=109097,10/20/2017,1/27/2022
109104,,"T.E. Lawrence",,,1966,"Greater London Council",51.49750,-0.12791,"14 Barton Street","City of Westminster",,"Greater London","England","It is on Barton Street just south of Great College Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=109104,10/20/2017,1/27/2022
109107,,"Sir John Gielgud","1904 - 2000",,2017,"English Heritage",51.49714,-0.12755,"16 Cowley Street","City of Westminster",,"Greater London","England","It is on Cowley Street just north of Great Peter Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=109107,10/20/2017,1/27/2022
109110,,"Lord Reith","1889-1971",,1995,"English Heritage",51.49723,-0.12771,"6 Barton Street","City of Westminster",,"Greater London","England","It is at the intersection of Barton Street and Cowley Street, on the left when traveling east on Barton Street. ",,https://www.hmdb.org/m.asp?m=109110,10/20/2017,1/27/2022
109115,,"W.T. Stead","1849-1912","City of Westminster",,"City of Westminster",51.49632,-0.12723,"13 Lord North Street","City of Westminster",,"Greater London","England","It is at the intersection of Lord North Street and Smith Square, on the right when traveling south on Lord North Street. ",,https://www.hmdb.org/m.asp?m=109115,10/21/2017,1/27/2022
109116,,"Sir Thomas Peirson Frank","1881-1951","City of Westminster",2014,"Institution of Civil Engineers",51.49648,-0.12442,,"City of Westminster",,"Greater London","England","It can be reached from Milbank just east of Dean Stanley Street. ",,https://www.hmdb.org/m.asp?m=109116,10/21/2017,2/16/2024
109117,,"The Queens Larder",,,,,51.52126,-0.12241,"1 Queen Square","Camden",,"Greater London","England","It is at the intersection of Queen Square and Cosmo Place on Queen Square. ",,https://www.hmdb.org/m.asp?m=109117,10/21/2017,1/27/2022
109121,,"Site of Bombing Raid of September 24th, 1917",,,,,51.52079,-0.12356,"83-93 Southampton Row","Camden",,"Greater London","England","It is on Southampton Row just south of Russell Square, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=109121,10/21/2017,1/27/2022
109123,,"The 2i's Coffee Bar","City of Westminster",,2006,"City of Westminster, Robert Mandry",51.51255,-0.13282,"59 Old Compton Street","City of Westminster",,"Greater London","England","It is on Old Compton Street just east of Wardour Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=109123,10/21/2017,1/27/2022
109130,,"Keith Moon","1946-1978","City of Westminster",2009,"The Heritage Foundation",51.51343,-0.13387,"90 Wardour Street","City of Westminster",,"Greater London","England","It is on Wardour Street just south of Broadwick Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=109130,10/21/2017,1/27/2022
109135,,"Karl Marx","1818-1883",,1967,"Greater London Council",51.51402,-0.13270,"28 Dean Street","City of Westminster",,"Greater London","England","It is on Dean Street just north of Bateman Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=109135,10/21/2017,6/3/2023
109139,,"Sir John Barbirolli C.H.",,,,,51.52085,-0.12310,"126 Southampton Row","Camden",,"Greater London","England","It is at the intersection of Southampton Row and Cosmo Place, on the right when traveling north on Southampton Row. ",,https://www.hmdb.org/m.asp?m=109139,10/22/2017,1/27/2022
109140,,"Dr. Joseph Rogers","1821-1889",,1996,"English Heritage",51.51371,-0.13247,"33 Dean Street","City of Westminster",,"Greater London","England","It is at the intersection of Dean Street and Bateman Street, on the right when traveling north on Dean Street. ",,https://www.hmdb.org/m.asp?m=109140,10/22/2017,1/27/2022
109141,,"Benedict Arnold",,,1987,"Peter Arnold",51.51873,-0.15811,"62 Gloucester Place","City of Westminster",,"Greater London","England","It is on Gloucester Place just north of Blandford Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=109141,10/22/2017,1/27/2022
109143,,"William Wilkie Collins",,,1951,"London County Council",51.51863,-0.15836,"65 Gloucester Place","City of Westminster",,"Greater London","England","It is on Gloucester Place just north of Blandford Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=109143,10/22/2017,10/14/2023
109147,,"Tony Ray-Jones","Westminster City Council",,,"Royal Photographic Society",51.52028,-0.15881,"102 Gloucester Place","City of Westminster",,"Greater London","England","It is on Gloucester Place just north of Crawford Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=109147,10/22/2017,1/27/2022
109239,,"Jacqueline du Pré","1945-1987",,,,51.51987,-0.16048,"27 Upper Montagu Street","City of Westminster",,"Greater London","England","It is on Upper Montagu Street just south of York Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=109239,10/25/2017,1/27/2022
109240,,"Sir Alfred Ayer",,,,"Westminster City Council",51.52017,-0.16085,"51 York Street","City of Westminster",,"Greater London","England","It is on York Street just west of Upper Montagu Street, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=109240,10/25/2017,1/27/2022
109241,,"Sir Gerald Kelly","1879-1972",,1993,"English Heritage",51.52070,-0.15928,"117 Gloucester Place","City of Westminster",,"Greater London","England","It is on Gloucester Place just north of York Street, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=109241,10/25/2017,1/27/2022
109242,,"John Robert Godley","1814-1861",,1951,"London County Council",51.51806,-0.15779,"48 Gloucester Place","City of Westminster",,"Greater London","England","It is on Gloucester Place just north of Blandford Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=109242,10/26/2017,1/27/2022
109243,,"Leo Bonn","(1850-1929)",,1998,"City of Westminster",51.51129,-0.15611,"22 Upper Brook Street","City of Westminster",,"Greater London","England","It is on Upper Brook Street just west of Park Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=109243,10/26/2017,1/27/2022
109253,,"In Memory of Auxiliary Firemen",,,2002,"Auxiliary Fire Service London",51.52583,-0.12934,,"Camden",,"Greater London","England","It is at the intersection of Upper Woburn Place and Endsleigh Place, on the left when traveling north on Upper Woburn Place. ",,https://www.hmdb.org/m.asp?m=109253,10/26/2017,4/6/2025
109254,,"Lord Milner",,,1967,"Greater London Council",51.51648,-0.15322,"14 Manchester Square","City of Westminster",,"Greater London","England","It is at the intersection of Manchester Square and Fitzhardinge Street, on the left when traveling north on Manchester Square. ",,https://www.hmdb.org/m.asp?m=109254,10/26/2017,1/27/2022
109256,,"The Three Greyhounds",,,,"Nicholson's Pubs",51.51348,-0.13027,"25 Greek Street","City of Westminster",,"Greater London","England","It is at the intersection of Greek Street and Moor Street, on the left when traveling south on Greek Street. ",,https://www.hmdb.org/m.asp?m=109256,10/26/2017,1/27/2022
109267,,"The Plough",,,,,51.51775,-0.12567,"27 Museum Street","Camden",,"Greater London","England","It is at the intersection of Museum Street and Little Russell Street, on the left on Museum Street. ",,https://www.hmdb.org/m.asp?m=109267,10/26/2017,1/27/2022
109268,,"Museum Tavern",,,,,51.51821,-0.12601,"49 Great Russell Street","Camden",,"Greater London","England","It is at the intersection of Great Russell Street and Museum Street, on the right when traveling east on Great Russell Street. ",,https://www.hmdb.org/m.asp?m=109268,10/26/2017,8/13/2023
109282,,"Randolph Caldecott","1846-1886",,1977,"Greater London Council",51.51808,-0.12639,"46 Great Russell Street","Camden",,"Greater London","England","It is on Great Russell Street just east of Coptic Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=109282,10/26/2017,1/27/2022
109283,,"Sir Victor Horsley","1857-1916",,2015,"English Heritage",51.52361,-0.13394,"129 Gower Street","Camden",,"Greater London","England","It is on Gower Street just south of University Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=109283,10/27/2017,1/27/2022
109284,,"William Marsden","1796-1867",,1986,"Greater London Council",51.51639,-0.11863,"65 Lincoln's Inn Fields","Camden",,"Greater London","England","It is at the intersection of Lincoln's Inn Fields and Remnant Street when traveling north on Lincoln's Inn Fields. ",,https://www.hmdb.org/m.asp?m=109284,10/27/2017,1/27/2022
109285,,"Sir George Frederic Still","1868-1941",,1993,"English Heritage",51.51808,-0.14741,"28 Queen Anne Street","City of Westminster",,"Greater London","England","It is on Queen Anne Street just west of Harley Street, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=109285,10/27/2017,1/27/2022
109286,,"Michael Faraday",,,1876,"Royal Society of Arts",51.51847,-0.15425,"48 Blandford Street","City of Westminster",,"Greater London","England","It is on Blandford Street just east of Chiltern Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=109286,10/27/2017,1/27/2022
109291,,"The Pelicans of St Jame's Park",,,,"The Royal Parks Foundation",51.50365,-0.12958,,"City of Westminster",,"Greater London","England","It is on Horse Guards Road, 0.3 kilometers south of The Mall, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=109291,10/27/2017,1/27/2022
109292,,"Constance Spry","1886-1960",,2012,"English Heritage",51.50881,-0.15159,"64 South Audley Street","City of Westminster",,"Greater London","England","It is at the intersection of South Audley Street and Aldford Street, on the left when traveling north on South Audley Street. ",,https://www.hmdb.org/m.asp?m=109292,10/27/2017,1/27/2022
109293,,"Sir Frederick Treves","1853-1923",,2000,"English Heritage",51.51698,-0.14754,"6 Wimpole Street","City of Westminster",,"Greater London","England","It is on Wimpole Street, 0.1 kilometers south of Queen Anne Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=109293,10/27/2017,1/27/2022
109295,,"John Adams",,,1933,"Colonial Dames of America",51.51246,-0.15040,"9 Grosvenor Square","City of Westminster",,"Greater London","England","It is at the intersection of Grosvenor Square and Brook Street on Grosvenor Square. ",,https://www.hmdb.org/m.asp?m=109295,10/27/2017,1/27/2022
109297,,"Sir Frederick Handley Page","1885-1962",,1999,"English Heritage",51.51206,-0.15220,"18 Grosvenor Square","City of Westminster",,"Greater London","England","It is on Grosvenor Square just east of North Audley Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=109297,10/27/2017,1/27/2022
109299,,"Colen Campbell","1676-1729",,1977,"Greater London Council",51.51262,-0.14913,"76 Brook Street","City of Westminster",,"Greater London","England","It is at the intersection of Brook Street and Gilbert Street, on the left when traveling east on Brook Street. ",,https://www.hmdb.org/m.asp?m=109299,10/27/2017,1/27/2022
109321,,"T.S. Eliot",,,,"Camden Borough Council",51.52207,-0.12804,,"Camden",,"Greater London","England","It is at the intersection of Thornhaugh Street and Russell Square, on the right when traveling north on Thornhaugh Street. ",,https://www.hmdb.org/m.asp?m=109321,10/27/2017,1/27/2022
109325,,"Sir Thomas Lawrence",,,,,51.52154,-0.12393,"156 Southampton Row","Camden",,"Greater London","England","It is at the intersection of Southampton Row and Russell Square, on the right when traveling north on Southampton Row. ",,https://www.hmdb.org/m.asp?m=109325,10/27/2017,1/27/2022
109328,,"Bertrand Russell","1872-1970",,2002,"English Heritage",51.51826,-0.12404,"36 Russell Chambers","Camden",,"Greater London","England","It is at the intersection of Bury Place and Galen Place, on the left when traveling south on Bury Place. ",,https://www.hmdb.org/m.asp?m=109328,10/28/2017,1/27/2022
109329,,"Roger Fry","1866-1934",,2014,"Marchmont Association, Morton Hotel",51.52320,-0.12495,"48 Bernard Street","Camden",,"Greater London","England","It is at the intersection of Bernard Street and Herbrand Street, on the left when traveling east on Bernard Street. ",,https://www.hmdb.org/m.asp?m=109329,10/28/2017,1/27/2022
109330,,"Sir Samuel Romilly",,,1919,"Greater London Council",51.52221,-0.12759,"21 Russell Square","Camden",,"Greater London","England","It is on Russell Square just west of Bedford Way, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=109330,10/28/2017,1/27/2022
109465,,"George Seferis","1900-1971",,2000,"English Heritage",51.51143,-0.15424,"51 Upper Brook Street","City of Westminster",,"Greater London","England","It is on Upper Brook Street just east of Park Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=109465,11/1/2017,1/27/2022
109466,,"Sir Richard Westmacott","1775-1856",,1955,"London County Council",51.50816,-0.15102,"14 South Audley Street","City of Westminster",,"Greater London","England","It is on South Audley Street just south of South Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=109466,11/1/2017,1/27/2022
109467,,"The Royal Fusiliers","(City of London Regiment)",,,,51.51674,-0.10224,,"City of London",,"Greater London","England","It can be reached from the intersection of Holborn Viaduct and Giltspur Road. ",,https://www.hmdb.org/m.asp?m=109467,11/1/2017,1/1/2023
109493,,"For His Majesty's Pleasure","Birds, Boats and Bathing",,,"The Royal Parks",51.50386,-0.12983,,"City of Westminster",,"Greater London","England","It is on Horse Guards Road, 0.3 kilometers The Mall. ",,https://www.hmdb.org/m.asp?m=109493,11/1/2017,6/4/2024
109497,,"George Dance (The Younger)",,,1970,"Greater London Council",51.52261,-0.13296,"91 Gower Street","Camden",,"Greater London","England","It is on Gower Street, 0.1 kilometers south of University Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=109497,11/2/2017,1/27/2022
109499,,"Lord Eldon","1751-1838",,1954,"London County Council",51.51934,-0.12908,"6 Bedford Square","Camden",,"Greater London","England","It is on Bedford Square just south of Montague Place, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=109499,11/2/2017,1/27/2022
109501,,"Herman Melville","1819-1891",,2005,"English Heritage",51.50712,-0.12408,"25 Craven Street","City of Westminster",,"Greater London","England","It is at the intersection of Craven Street and Northumberland Avenue, on the left when traveling south on Craven Street. ",,https://www.hmdb.org/m.asp?m=109501,11/2/2017,1/27/2022
109506,,"Benjamin Franklin","(1706-1790)",,1914,"London County Council",51.50759,-0.12496,"36 Craven Street","City of Westminster",,"Greater London","England","It is on Craven Street just south of Strand, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=109506,11/2/2017,4/10/2024
109532,,"Turkish Gun",,,,,51.50527,-0.12767,,"City of Westminster",,"Greater London","England","It is on Horse Guards Road just south of The Mall, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=109532,11/2/2017,1/27/2022
109537,,"Thomas Earnshaw",,,1948,"London County Council",51.51777,-0.12016,"119 High Holborn","Camden",,"Greater London","England","It is at the intersection of High Holborn and Southampton Row, on the right when traveling west on High Holborn. ",,https://www.hmdb.org/m.asp?m=109537,11/3/2017,1/27/2022
109546,,"Prince Talleyrand","1754-1838",,1978,"Greater London Council",51.51356,-0.14427,,"City of Westminster",,"Greater London","England","It is at the intersection of Brook Street and Hanover Square, on the left when traveling east on Brook Street. ",,https://www.hmdb.org/m.asp?m=109546,11/3/2017,1/27/2022
109547,,"Ernest Bevin","1881-1951",,2001,"English Heritage",51.51415,-0.14885,"34 South Moulton Street","City of Westminster",,"Greater London","England","It is at the intersection of South Moulton Street and Davies Street, on the right when traveling north on South Moulton Street. ",,https://www.hmdb.org/m.asp?m=109547,11/3/2017,1/27/2022
109549,,"W.H. Smith & Son - Bomb Damage",,,,,51.51495,-0.11562,,"City of Westminster",,"Greater London","England","It is at the intersection of Portugal Street and Carey Street, on the right when traveling east on Portugal Street. ",,https://www.hmdb.org/m.asp?m=109549,11/3/2017,1/27/2022
109550,,"William Butler Yeats",,,,,51.52670,-0.12924,"3 Woburn Walk","Camden",,"Greater London","England","It is on Woburn Walk just east of Upper Woburn Place, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=109550,11/3/2017,1/27/2022
109551,,"Sir George Williams",,,,,51.52263,-0.12654,"13 Russell Square","Camden",,"Greater London","England","It is on Russell Square just west of Woburn Place, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=109551,11/3/2017,1/27/2022
109553,,"Robert Owen","1771-1858",,,"Marchmont Association, One Housing",51.52646,-0.12786,"5 Burton Place","Camden",,"Greater London","England","It is at the intersection of Burton Place and Burton Street on Burton Place. ",,https://www.hmdb.org/m.asp?m=109553,11/3/2017,1/27/2022
109810,,"John Howard","1726-1790",,1908,"London County Council",51.52216,-0.11910,"23 Great Ormond Street","Camden",,"Greater London","England","It is on Great Ormond Street just west of Lamb's Conduit Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=109810,11/8/2017,1/27/2022
109812,,"Sydney Smith","1771-1845",,1906,"London County Council",51.52369,-0.11677,"14 Doughty Street","Camden",,"Greater London","England","It is on Doughty Street just south of Guilford Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=109812,11/9/2017,1/27/2022
109813,,"Friend at Hand",,,,,51.52287,-0.12465,"2-4 Herbrand Street","Camden",,"Greater London","England","It is at the intersection of Herbrand Street and Colonnade when traveling south on Herbrand Street. ",,https://www.hmdb.org/m.asp?m=109813,11/9/2017,8/13/2023
109837,,"John Logie Baird",,,1951,"London County Council",51.51340,-0.13119,"22 Frith Street","City of Westminster",,"Greater London","England","It is on Frith Street just south of Bateman Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=109837,11/9/2017,1/27/2022
109853,,"London School of Tropical Medicine",,,,"Seamen's Hospital Society of Greenwich",51.52575,-0.13322,"25 Gordon Street","Camden",,"Greater London","England","It is at the intersection of Gordon Street and Gower Place, on the left when traveling north on Gordon Street. ",,https://www.hmdb.org/m.asp?m=109853,11/9/2017,1/27/2022
109861,,"Lord Ashfield",,,1984,"Greater London Council",51.50868,-0.15043,"43 South Street","City of Westminster",,"Greater London","England","It is on South Street just east of South Audley Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=109861,11/10/2017,1/27/2022
109880,,"J. Arthur Rank","1888-1972",,2012,"English Heritage",51.50848,-0.15064,"38 South Street","City of Westminster",,"Greater London","England","It is on South Street just east of South Audley Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=109880,11/10/2017,1/27/2022
109881,,"Charles X","1757-1836",,2000,"English Heritage",51.50819,-0.15126,"72 South Audley Street","City of Westminster",,"Greater London","England","It is at the intersection of South Audley Street and South Street, on the right when traveling south on South Audley Street. ",,https://www.hmdb.org/m.asp?m=109881,11/10/2017,1/27/2022
109883,,"General Pasquale Paoli","1725-1807",,,"City of Westminster",51.50738,-0.15095,"78 South Audley Street","City of Westminster",,"Greater London","England","It is on South Audley Street, 0.03 kilometers south of Deanery Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=109883,11/10/2017,1/27/2022
110130,,"William Hazlitt","1778-1830",,1905,"London County Council",51.51435,-0.13182,"6 Frith Street","City of Westminster",,"Greater London","England","It is on Frith Street close to  Soho Square, in the median. ",,https://www.hmdb.org/m.asp?m=110130,11/16/2017,1/27/2022
110133,,"First Anaesthesia in England",,,,"Association of Anaesthetists of Great Britain and Ireland",51.52127,-0.13116,"52 Gower Street","Camden",,"Greater London","England","It is on Gower Street just south of Chenies Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=110133,11/16/2017,1/27/2022
110144,,"Richard Trevithick",,,1908,"Trevithick Centenary Memorial Committee",51.52405,-0.13418,,"Camden",,"Greater London","England","It is at the intersection of Gower Street and University Street, on the left when traveling south on Gower Street. ",,https://www.hmdb.org/m.asp?m=110144,11/16/2017,1/27/2022
110146,,"Duck Island Cottage","Swiss Chalet for a British Bird-Keeper",,,"The Royal Parks",51.50299,-0.12983,"69 Horse Guards Road","City of Westminster",,"Greater London","England","It is on Horse Guards Road, 0.3 kilometers south of The Mall, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=110146,11/16/2017,1/27/2022
